,날짜,구,생활인구수,유동인구수,전체점포수,프랜차이즈점포수,일반점포수,확진자수
261,2020-02-11,동작구,407850.5778,307482.5,15894,1581,14313,0
262,2020-02-11,마포구,476477.1363,346053.75,28419,2417,26002,0
263,2020-02-11,서대문구,378390.3243,254928.75,15024,1489,13535,0
264,2020-02-11,서초구,619614.8896,440933.75,36555,2544,34011,0
265,2020-02-11,성동구,359925.4869,262713.75,17072,1334,15738,0
266,2020-02-11,성북구,426620.5791,328121.6667,17228,1584,15644,0
267,2020-02-11,송파구,772529.5297,518801.6667,37450,3186,34264,0
268,2020-02-11,양천구,405824.2084,316680.4167,18361,1655,16706,0
269,2020-02-11,영등포구,489967.2866,417711.25,27266,2258,25008,0
270,2020-02-11,용산구,298415.3757,218975.4167,19047,1178,17869,0
271,2020-02-11,은평구,447925.3075,321215,18313,1554,16759,0
272,2020-02-11,종로구,312202.8525,246319.5833,25500,1616,23884,0
273,2020-02-11,중구,306376.1352,273605,40338,2095,38243,0
274,2020-02-11,중랑구,359352.8526,285193.75,16161,1275,14886,0
275,2020-02-12,강남구,908403.5507,655497.5,55875,4371,51504,0
276,2020-02-12,강동구,505436.4817,326317.5,20974,1901,19073,0
277,2020-02-12,강북구,307127.6245,229954.5833,13417,1075,12342,0
278,2020-02-12,강서구,552808.3753,437902.9167,25902,2633,23269,0
279,2020-02-12,관악구,492136.2172,383357.5,19734,1908,17826,0
280,2020-02-12,광진구,369272.9539,278883.3333,19004,1662,17342,0
281,2020-02-12,구로구,403279.7018,355860.8333,22318,1785,20533,0
282,2020-02-12,금천구,240037.1156,239687.9167,15677,1274,14403,0
283,2020-02-12,노원구,533786.3295,385960,18188,1859,16329,0
284,2020-02-12,도봉구,280347.8303,228699.5833,11691,992,10699,0
285,2020-02-12,동대문구,365189.7995,288010.8333,21212,1475,19737,0
286,2020-02-12,동작구,408171.8968,308212.9167,15894,1581,14313,0
287,2020-02-12,마포구,476566.2032,344895.8333,28419,2417,26002,0
288,2020-02-12,서대문구,379662.1269,254986.6667,15024,1489,13535,0
289,2020-02-12,서초구,618839.2698,440233.75,36555,2544,34011,0
290,2020-02-12,성동구,361365.1648,262950.8333,17072,1334,15738,0
291,2020-02-12,성북구,428125.0901,329717.5,17228,1584,15644,0
292,2020-02-12,송파구,773197.6343,519237.9167,37450,3186,34264,0
293,2020-02-12,양천구,407709.671,318120,18361,1655,16706,0
294,2020-02-12,영등포구,491417.6976,419107.5,27266,2258,25008,0
295,2020-02-12,용산구,299185.3534,219017.9167,19047,1178,17869,0
296,2020-02-12,은평구,449678.2017,323438.3333,18313,1554,16759,0
297,2020-02-12,종로구,307770.609,242740,25500,1616,23884,0
298,2020-02-12,중구,303059.1437,270285,40338,2095,38243,0
299,2020-02-12,중랑구,360671.0856,286385,16161,1275,14886,0
300,2020-02-13,강남구,911212.2122,658671.25,55875,4371,51504,0
301,2020-02-13,강동구,502339.6236,324140.8333,20974,1901,19073,0
302,2020-02-13,강북구,305257.0986,228452.5,13417,1075,12342,0
303,2020-02-13,강서구,550130.9396,436272.9167,25902,2633,23269,0
304,2020-02-13,관악구,488910.5913,381057.5,19734,1908,17826,0
305,2020-02-13,광진구,369192.7644,278257.0833,19004,1662,17342,0
306,2020-02-13,구로구,401378.7004,354244.1667,22318,1785,20533,0
307,2020-02-13,금천구,239093.4308,237946.6667,15677,1274,14403,0
308,2020-02-13,노원구,529835.1351,382155.4167,18188,1859,16329,0
309,2020-02-13,도봉구,278638.9114,226573.3333,11691,992,10699,0
310,2020-02-13,동대문구,364205.75,286542.0833,21212,1475,19737,0
311,2020-02-13,동작구,406809.8995,306865,15894,1581,14313,0
312,2020-02-13,마포구,479849.0869,348331.6667,28419,2417,26002,0
313,2020-02-13,서대문구,377783.6998,254076.6667,15024,1489,13535,0
314,2020-02-13,서초구,621322.576,442072.0833,36555,2544,34011,0
315,2020-02-13,성동구,359737.9078,262129.1667,17072,1334,15738,0
316,2020-02-13,성북구,426425.5629,327471.6667,17228,1584,15644,0
317,2020-02-13,송파구,774745.9591,519449.5833,37450,3186,34264,0
318,2020-02-13,양천구,406403.3764,316099.1667,18361,1655,16706,0
319,2020-02-13,영등포구,490353.5393,417957.0833,27266,2258,25008,0
320,2020-02-13,용산구,301643.8083,220297.5,19047,1178,17869,0
321,2020-02-13,은평구,446419.0499,320517.9167,18313,1554,16759,0
322,2020-02-13,종로구,313073.5897,247621.6667,25500,1616,23884,0
323,2020-02-13,중구,307713.0349,274375,40338,2095,38243,0
324,2020-02-13,중랑구,358898.1211,284926.25,16161,1275,14886,0
325,2020-02-14,강남구,909115.2564,686112.5,55875,4371,51504,0
326,2020-02-14,강동구,502896.9732,319957.0833,20974,1901,19073,0
327,2020-02-14,강북구,305505.3165,224212.9167,13417,1075,12342,0
328,2020-02-14,강서구,547097.3259,431297.5,25902,2633,23269,0
329,2020-02-14,관악구,486609.9769,370596.6667,19734,1908,17826,0
330,2020-02-14,광진구,370977.3587,273346.25,19004,1662,17342,0
331,2020-02-14,구로구,399931.5097,350270.8333,22318,1785,20533,0
332,2020-02-14,금천구,236171.9334,242211.25,15677,1274,14403,0
333,2020-02-14,노원구,528275.9701,372612.0833,18188,1859,16329,0
334,2020-02-14,도봉구,277932.6885,220426.25,11691,992,10699,0
335,2020-02-14,동대문구,362914.2357,285150,21212,1475,19737,0
336,2020-02-14,동작구,406071.414,300589.5833,15894,1581,14313,0
337,2020-02-14,마포구,484637.0856,351689.1667,28419,2417,26002,0
338,2020-02-14,서대문구,374730.149,251656.25,15024,1489,13535,0
339,2020-02-14,서초구,621896.8234,457503.75,36555,2544,34011,0
340,2020-02-14,성동구,359070.5416,263897.5,17072,1334,15738,0
341,2020-02-14,성북구,424171.1966,320577.5,17228,1584,15644,0
342,2020-02-14,송파구,773197.5771,518099.5833,37450,3186,34264,0
343,2020-02-14,양천구,405939.6653,309987.9167,18361,1655,16706,0
344,2020-02-14,영등포구,489909.7039,429467.9167,27266,2258,25008,0
345,2020-02-14,용산구,304749.14,224699.1667,19047,1178,17869,0
346,2020-02-14,은평구,444933.3519,310480.4167,18313,1554,16759,0
347,2020-02-14,종로구,312046.7538,260961.6667,25500,1616,23884,0
348,2020-02-14,중구,303708.8744,295025.4167,40338,2095,38243,0
349,2020-02-14,중랑구,357848.946,277217.0833,16161,1275,14886,0
350,2020-02-15,강남구,770575.7783,526335,55875,4371,51504,0
351,2020-02-15,강동구,516583.775,340089.5833,20974,1901,19073,0
352,2020-02-15,강북구,318021.073,244021.25,13417,1075,12342,0
353,2020-02-15,강서구,554101.894,444303.3333,25902,2633,23269,0
354,2020-02-15,관악구,514764.1652,407431.6667,19734,1908,17826,0
355,2020-02-15,광진구,383378.9235,294504.5833,19004,1662,17342,0
356,2020-02-15,구로구,392126.1783,346042.9167,22318,1785,20533,0
357,2020-02-15,금천구,209551.4114,202386.25,15677,1274,14403,0
358,2020-02-15,노원구,549465.5799,409778.75,18188,1859,16329,0
359,2020-02-15,도봉구,291377.2902,234561.6667,11691,992,10699,0
360,2020-02-15,동대문구,363097.861,288282.5,21212,1475,19737,0
361,2020-02-15,동작구,415011.7231,317477.9167,15894,1581,14313,0
362,2020-02-15,마포구,471454.0499,340566.25,28419,2417,26002,0
363,2020-02-15,서대문구,359046.9414,251272.5,15024,1489,13535,0
364,2020-02-15,서초구,554285.9857,378983.75,36555,2544,34011,0
365,2020-02-15,성동구,343230.524,244079.5833,17072,1334,15738,0
366,2020-02-15,성북구,435432.0826,339147.0833,17228,1584,15644,0
367,2020-02-15,송파구,768325.2826,513835,37450,3186,34264,0
368,2020-02-15,양천구,420193.6311,335107.0833,18361,1655,16706,0
369,2020-02-15,영등포구,437663.7244,363946.6667,27266,2258,25008,0
370,2020-02-15,용산구,292432.8644,209697.5,19047,1178,17869,0
371,2020-02-15,은평구,468207.7946,345880,18313,1554,16759,0
372,2020-02-15,종로구,266212.67,192075,25500,1616,23884,0
373,2020-02-15,중구,217920.0006,165703.3333,40338,2095,38243,0
374,2020-02-15,중랑구,375878.5522,302714.1667,16161,1275,14886,0
375,2020-02-16,강남구,715874.8308,480421.6667,55875,4371,51504,0
376,2020-02-16,강동구,527232.3178,346836.6667,20974,1901,19073,0
377,2020-02-16,강북구,326534.5278,252003.3333,13417,1075,12342,0
378,2020-02-16,강서구,560423.6506,450395.4167,25902,2633,23269,0
379,2020-02-16,관악구,525843.4888,417899.1667,19734,1908,17826,0
380,2020-02-16,광진구,384082.525,295586.25,19004,1662,17342,0
381,2020-02-16,구로구,399037.4066,352335.8333,22318,1785,20533,0
382,2020-02-16,금천구,209174.7665,203464.5833,15677,1274,14403,0
383,2020-02-16,노원구,559712.464,421090,18188,1859,16329,0
384,2020-02-16,도봉구,299710.3758,247934.5833,11691,992,10699,0
385,2020-02-16,동대문구,363929.4592,290090,21212,1475,19737,0
386,2020-02-16,동작구,416253.2486,318176.6667,15894,1581,14313,0
387,2020-02-16,마포구,454231.0117,324971.6667,28419,2417,26002,0
388,2020-02-16,서대문구,357520.2169,251298.3333,15024,1489,13535,0
